,expiration_month,expiration_year,Drug_Id,group
74,6,2018,436,5.0
75,5,2018,384,4.0
76,6,2018,338,5.0
77,5,2018,1732,4.0
78,5,2018,1528,4.0
79,8,2018,1835,7.0
80,5,2018,504,4.0
81,6,2018,697,5.0
82,6,2018,1754,5.0
83,2,2018,1340,1.0
84,8,2018,1563,7.0
85,8,2018,1694,7.0
86,8,2018,588,7.0
87,5,2018,87,4.0
88,5,2018,931,4.0
89,12,2018,863,11.0
90,12,2018,1630,11.0
91,6,2018,1428,5.0
92,6,2018,1090,5.0
93,6,2018,1704,5.0
94,5,2018,1238,4.0
95,5,2018,944,4.0
96,5,2018,497,4.0
97,5,2018,722,4.0
98,5,2018,1494,4.0
99,5,2018,813,4.0
100,5,2018,1784,4.0
101,5,2018,1882,4.0
102,5,2018,1153,4.0
103,5,2018,1733,4.0
104,4,2018,1061,3.0
105,5,2018,117,4.0
106,5,2018,1345,4.0
107,5,2018,1355,4.0
108,5,2018,503,4.0
109,6,2018,1323,5.0
110,6,2018,1318,5.0
111,6,2018,547,5.0
112,6,2018,1743,5.0
113,5,2018,199,4.0
114,5,2018,1274,4.0
115,5,2018,67,4.0
116,11,2018,901,10.0
117,4,2018,1362,3.0
118,5,2018,551,4.0
119,5,2018,1411,4.0
120,12,2018,1813,11.0
121,5,2018,1933,4.0
122,5,2018,1550,4.0
123,6,2018,1657,5.0
124,4,2018,1579,3.0
125,5,2018,642,4.0
126,5,2018,1355,4.0
127,6,2018,150,5.0
128,8,2018,1028,7.0
129,4,2018,1238,3.0
130,5,2018,940,4.0
131,12,2018,1747,11.0
132,5,2018,1881,4.0
133,5,2018,504,4.0
134,5,2018,53,4.0
135,5,2018,776,4.0
136,10,2018,850,9.0
137,5,2018,163,4.0
138,5,2018,292,4.0
139,5,2018,165,4.0
140,5,2018,1369,4.0
141,5,2018,209,4.0
142,5,2018,292,4.0
143,12,2018,502,11.0
144,4,2018,1344,3.0
145,12,2018,1300,11.0
146,5,2018,504,4.0
147,5,2018,299,4.0
148,5,2018,1286,4.0
149,7,2018,451,6.0
150,5,2018,165,4.0
151,5,2018,1369,4.0
152,9,2018,1543,8.0
153,6,2018,1481,5.0
154,4,2018,1061,3.0
155,5,2018,1162,4.0
156,5,2018,330,4.0
157,4,2018,992,3.0
158,12,2018,324,11.0
159,5,2018,1193,4.0
160,8,2018,1388,7.0
161,5,2018,553,4.0
162,5,2018,414,4.0
163,5,2018,963,4.0
164,5,2018,6,4.0
165,5,2018,1369,4.0
166,5,2018,165,4.0
167,5,2018,1693,4.0
168,5,2018,1673,4.0
169,5,2018,123,4.0
170,5,2018,773,4.0
171,5,2018,617,4.0
172,6,2018,681,5.0
173,6,2018,1150,5.0
174,6,2018,1197,5.0
175,9,2018,1835,8.0
176,9,2018,1636,8.0
177,6,2018,1096,5.0
178,6,2018,285,5.0
179,11,2018,1754,10.0
180,6,2018,1778,5.0
181,6,2018,1785,5.0
182,9,2018,208,8.0
183,6,2018,1650,5.0
184,6,2018,1197,5.0
185,6,2018,1125,5.0
186,6,2018,543,5.0
187,6,2018,954,5.0
188,2,2018,1163,1.0
189,6,2018,722,5.0
190,6,2018,1747,5.0
191,6,2018,726,5.0
192,6,2018,1150,5.0
193,6,2018,1216,5.0
194,6,2018,1771,5.0
195,6,2018,642,5.0
196,6,2018,8,5.0
197,8,2018,1876,7.0
198,6,2018,1369,5.0
199,6,2018,1354,5.0
200,6,2018,1174,5.0
201,6,2018,1096,5.0
202,6,2018,947,5.0
203,3,2018,1659,2.0
204,6,2018,1933,5.0
205,6,2018,1354,5.0
206,3,2018,1428,2.0
207,6,2018,165,5.0
208,6,2018,260,5.0
209,6,2018,115,5.0
210,10,2018,604,9.0
211,6,2018,1798,5.0
212,3,2018,1711,2.0
213,6,2018,406,5.0
214,10,2018,481,9.0
215,6,2018,1298,5.0
216,5,2018,1901,4.0
217,10,2018,945,9.0
218,6,2018,1280,5.0
219,1,2018,712,0.0
220,6,2018,543,5.0
221,9,2018,1919,8.0
222,6,2018,521,5.0
223,6,2018,1077,5.0
224,6,2018,133,5.0
225,6,2018,950,5.0
226,6,2018,1124,5.0
227,7,2018,228,6.0
228,7,2018,1238,6.0
229,4,2018,1642,3.0
230,9,2018,1916,8.0
231,6,2018,325,5.0
232,6,2018,124,5.0
233,9,2018,1835,8.0
234,8,2018,734,7.0
235,6,2018,1074,5.0
236,6,2018,6,5.0
237,3,2018,1513,2.0
238,6,2018,506,5.0
239,6,2018,163,5.0
240,6,2018,1350,5.0
241,7,2018,1013,6.0
242,7,2018,1820,6.0
243,6,2018,6,5.0
244,6,2018,1369,5.0
245,6,2018,950,5.0
246,6,2018,292,5.0
247,8,2018,693,7.0
248,6,2018,467,5.0
249,6,2018,950,5.0
250,6,2018,1369,5.0
251,6,2018,467,5.0
252,6,2018,351,5.0
253,6,2018,1931,5.0
254,6,2018,681,5.0
255,6,2018,367,5.0
256,6,2018,428,5.0
257,6,2018,123,5.0
258,6,2018,916,5.0
259,1,2018,450,0.0
260,11,2018,1200,10.0
261,6,2018,975,5.0
262,6,2018,1307,5.0
263,6,2018,1659,5.0
264,6,2018,428,5.0
265,6,2018,504,5.0
266,2,2018,358,1.0
267,9,2018,570,8.0
268,6,2018,1290,5.0
269,6,2018,681,5.0
270,6,2018,1201,5.0
271,6,2018,1125,5.0
272,6,2018,1932,5.0
273,3,2018,1919,2.0
274,6,2018,952,5.0
275,7,2018,130,6.0
276,5,2018,1959,4.0
277,8,2018,384,7.0
278,5,2018,1355,4.0
279,8,2018,1219,7.0
280,6,2018,1494,5.0
281,8,2018,695,7.0
282,8,2018,1642,7.0
283,6,2018,917,5.0
284,6,2018,1919,5.0
285,6,2018,265,5.0
286,12,2018,719,11.0
287,6,2018,1961,5.0
288,6,2018,761,5.0
289,6,2018,285,5.0
290,6,2018,1472,5.0
291,6,2018,1267,5.0
292,6,2018,1193,5.0
293,11,2018,1092,10.0
294,6,2018,491,5.0
295,5,2018,847,4.0
296,5,2018,1754,4.0
297,6,2018,491,5.0
298,6,2018,695,5.0
299,6,2018,1686,5.0
300,6,2018,528,5.0
301,6,2018,716,5.0
302,6,2018,1096,5.0
303,6,2018,166,5.0
304,6,2018,1650,5.0
305,6,2018,497,5.0
306,6,2018,642,5.0
307,6,2018,505,5.0
308,6,2018,1174,5.0
309,6,2018,162,5.0
310,6,2018,681,5.0
311,6,2018,1096,5.0
312,6,2018,944,5.0
313,6,2018,642,5.0
314,6,2018,8,5.0
315,7,2018,588,6.0
316,7,2018,401,6.0
317,6,2018,1931,5.0
318,2,2018,1093,1.0
319,6,2018,1789,5.0
320,6,2018,166,5.0
321,6,2018,1355,5.0
322,7,2018,795,6.0
323,6,2018,133,5.0
324,6,2018,151,5.0
325,8,2018,438,7.0
326,6,2018,165,5.0
327,6,2018,1275,5.0
328,10,2018,542,9.0
329,6,2018,437,5.0
330,11,2018,993,10.0
331,6,2018,123,5.0
332,6,2018,504,5.0
333,7,2018,588,6.0
334,6,2018,1177,5.0
335,7,2018,289,6.0
336,12,2018,757,11.0
337,4,2018,500,3.0
338,6,2018,1355,5.0
339,6,2018,428,5.0
340,6,2018,1579,5.0
341,9,2018,384,8.0
342,11,2018,1116,10.0
343,6,2018,1043,5.0
344,6,2018,1294,5.0
345,6,2018,392,5.0
346,6,2018,1481,5.0
347,2,2018,1398,1.0
348,2,2018,340,1.0
349,6,2018,943,5.0
350,5,2018,1244,4.0
351,7,2018,51,6.0
352,6,2018,1778,5.0
353,7,2018,367,6.0
354,6,2018,1624,5.0
355,6,2018,426,5.0
356,6,2018,497,5.0
357,6,2018,1650,5.0
358,9,2018,992,8.0
359,6,2018,1932,5.0
360,6,2018,1369,5.0
361,6,2018,67,5.0
362,6,2018,293,5.0
363,6,2018,955,5.0
364,7,2018,1200,6.0
365,7,2018,891,6.0
366,6,2018,1607,5.0
367,6,2018,1650,5.0
368,6,2018,166,5.0
369,6,2018,497,5.0
370,6,2018,1274,5.0
371,6,2018,1355,5.0
372,6,2018,1275,5.0
373,7,2018,1238,6.0
374,6,2018,1124,5.0
375,7,2018,799,6.0
376,6,2018,293,5.0
377,6,2018,1932,5.0
378,6,2018,341,5.0
379,3,2018,5,2.0
380,6,2018,133,5.0
381,6,2018,277,5.0
382,6,2018,325,5.0
383,6,2018,124,5.0
384,6,2018,1178,5.0
385,6,2018,594,5.0
386,7,2018,1482,6.0
387,6,2018,816,5.0
388,7,2018,1091,6.0
389,6,2018,181,5.0
390,7,2018,1354,6.0
391,6,2018,1369,5.0
392,6,2018,265,5.0
393,9,2018,1398,8.0
394,6,2018,1933,5.0
395,9,2018,1833,8.0
396,9,2018,825,8.0
397,9,2018,547,8.0
398,2,2018,817,1.0
399,9,2018,1552,8.0
400,6,2018,347,5.0
401,5,2018,439,4.0
402,6,2018,87,5.0
403,4,2018,1851,3.0
404,5,2018,1686,4.0
405,7,2018,1159,6.0
406,8,2018,1340,7.0
407,9,2018,1163,8.0
408,6,2018,955,5.0
409,9,2018,1635,8.0
410,6,2018,166,5.0
411,7,2018,1754,6.0
412,6,2018,335,5.0
413,1,2018,723,0.0
414,6,2018,1025,5.0
415,6,2018,1290,5.0
416,3,2018,5,2.0
417,6,2018,504,5.0
418,6,2018,1906,5.0
419,10,2018,765,9.0
420,6,2018,1798,5.0
421,10,2018,236,9.0
422,6,2018,277,5.0
423,11,2018,1191,10.0
424,11,2018,998,10.0
425,11,2018,197,10.0
426,12,2018,1369,11.0
427,6,2018,952,5.0
428,6,2018,1425,5.0
429,10,2018,340,9.0
430,6,2018,952,5.0
431,1,2018,1295,0.0
432,7,2018,439,6.0
433,2,2018,1919,1.0
434,6,2018,1458,5.0
435,2,2018,661,1.0
436,11,2018,306,10.0
437,8,2018,1263,7.0
438,9,2018,1258,8.0
439,9,2018,209,8.0
440,9,2018,817,8.0
441,7,2018,1028,6.0
442,6,2018,478,5.0
443,6,2018,1355,5.0
444,6,2018,1845,5.0
445,6,2018,1275,5.0
446,10,2018,1948,9.0
447,6,2018,428,5.0
448,6,2018,642,5.0
449,2,2018,285,1.0
450,10,2018,1280,9.0
451,6,2018,558,5.0
452,6,2018,681,5.0
453,6,2018,1167,5.0
454,3,2018,504,2.0
455,4,2018,599,3.0
456,6,2018,6,5.0
457,6,2018,1425,5.0
458,6,2018,292,5.0
459,6,2018,1933,5.0
460,7,2018,1347,6.0
461,9,2018,208,8.0
462,7,2018,1754,6.0
463,6,2018,1206,5.0
464,6,2018,1355,5.0
465,9,2018,1318,8.0
466,9,2018,790,8.0
467,6,2018,529,5.0
468,6,2018,642,5.0
469,6,2018,1466,5.0
470,8,2018,1280,7.0
471,8,2018,1417,7.0
472,6,2018,314,5.0
473,6,2018,1332,5.0
474,6,2018,168,5.0
475,6,2018,1125,5.0
476,6,2018,293,5.0
477,6,2018,7,5.0
478,4,2018,1372,3.0
479,6,2018,945,5.0
480,6,2018,568,5.0
481,6,2018,1124,5.0
482,7,2018,228,6.0
483,3,2018,1642,2.0
484,3,2018,1939,2.0
485,6,2018,681,5.0
486,10,2018,320,9.0
487,8,2018,1730,7.0
488,6,2018,1845,5.0
489,9,2018,357,8.0
490,6,2018,1338,5.0
491,6,2018,1597,5.0
492,6,2018,1754,5.0
493,8,2018,1249,7.0
494,6,2018,1624,5.0
495,6,2018,240,5.0
496,6,2018,944,5.0
497,6,2018,1355,5.0
498,6,2018,680,5.0
499,6,2018,567,5.0
500,6,2018,934,5.0
501,6,2018,1778,5.0
502,6,2018,1209,5.0
503,7,2018,579,6.0
504,7,2018,1328,6.0
505,5,2018,1332,4.0
506,10,2018,955,9.0
507,6,2018,1307,5.0
508,8,2018,729,7.0
509,7,2018,192,6.0
510,11,2018,450,10.0
511,11,2018,137,10.0
512,8,2018,1703,7.0
513,6,2018,1246,5.0
514,7,2018,1086,6.0
515,8,2018,1415,7.0
516,10,2018,139,9.0
517,6,2018,1000,5.0
518,6,2018,37,5.0
519,7,2018,723,6.0
520,9,2018,1030,8.0
521,7,2018,335,6.0
522,7,2018,1000,6.0
523,7,2018,1025,6.0
524,6,2018,1673,5.0
525,6,2018,37,5.0
526,6,2018,944,5.0
527,6,2018,642,5.0
528,6,2018,8,5.0
529,7,2018,1164,6.0
530,3,2018,954,2.0
531,6,2018,949,5.0
532,6,2018,292,5.0
533,6,2018,333,5.0
534,7,2018,1238,6.0
535,6,2018,945,5.0
536,6,2018,504,5.0
537,7,2018,1540,6.0
538,6,2018,944,5.0
539,6,2018,1931,5.0
540,6,2018,166,5.0
541,6,2018,425,5.0
542,6,2018,1275,5.0
543,6,2018,267,5.0
544,6,2018,1355,5.0
545,6,2018,313,5.0
546,6,2018,633,5.0
547,4,2018,97,3.0
548,6,2018,529,5.0
549,6,2018,944,5.0
550,10,2018,266,9.0
551,7,2018,335,6.0
552,6,2018,1025,5.0
553,6,2018,1780,5.0
554,6,2018,1493,5.0
555,7,2018,1340,6.0
556,6,2018,611,5.0
557,12,2018,779,11.0
558,6,2018,1371,5.0
559,6,2018,1355,5.0
560,6,2018,681,5.0
561,6,2018,1286,5.0
562,6,2018,1747,5.0
563,8,2018,1675,7.0
564,11,2018,1466,10.0
565,1,2018,505,0.0
566,6,2018,335,5.0
567,6,2018,266,5.0
568,6,2018,1024,5.0
569,1,2018,890,0.0
570,6,2018,197,5.0
571,7,2018,846,6.0
572,6,2018,298,5.0
573,6,2018,776,5.0
574,3,2018,1810,2.0
575,2,2018,901,1.0
576,2,2018,1124,1.0
577,10,2018,1371,9.0
578,10,2018,1355,9.0
579,6,2018,1464,5.0
580,10,2018,1931,9.0
581,11,2018,1030,10.0
582,8,2018,865,7.0
583,5,2018,1030,4.0
584,6,2018,999,5.0
585,5,2018,1354,4.0
586,12,2018,465,11.0
587,6,2018,1280,5.0
588,1,2018,1280,0.0
589,1,2018,1778,0.0
590,1,2018,723,0.0
591,6,2018,1073,5.0
592,6,2018,1369,5.0
593,6,2018,1275,5.0
594,6,2018,542,5.0
595,6,2018,1597,5.0
596,6,2018,341,5.0
597,6,2018,1332,5.0
598,6,2018,1673,5.0
599,6,2018,37,5.0
600,6,2018,168,5.0
601,6,2018,293,5.0
602,6,2018,1932,5.0
603,6,2018,1572,5.0
604,6,2018,1931,5.0
605,6,2018,1096,5.0
606,6,2018,955,5.0
607,7,2018,142,6.0
608,7,2018,1124,6.0
609,6,2018,166,5.0
610,6,2018,1650,5.0
611,6,2018,497,5.0
612,6,2018,282,5.0
613,6,2018,1597,5.0
614,6,2018,542,5.0
615,6,2018,166,5.0
616,6,2018,299,5.0
617,6,2018,168,5.0
618,6,2018,266,5.0
619,10,2018,1141,9.0
620,6,2018,1770,5.0
621,7,2018,372,6.0
622,12,2018,1452,11.0
623,11,2018,1196,10.0
624,6,2018,1290,5.0
625,9,2018,395,8.0
626,6,2018,161,5.0
627,6,2018,1650,5.0
628,6,2018,1454,5.0
629,7,2018,723,6.0
630,9,2018,1060,8.0
631,8,2018,407,7.0
632,2,2018,313,1.0
633,2,2018,901,1.0
634,6,2018,37,5.0
635,2,2018,1377,1.0
636,12,2018,974,11.0
637,2,2018,946,1.0
638,6,2018,1933,5.0
639,2,2018,1280,1.0
640,2,2018,1843,1.0
641,6,2018,1124,5.0
642,6,2018,1650,5.0
643,4,2018,551,3.0
644,1,2018,201,0.0
645,10,2018,1808,9.0
646,3,2018,42,2.0
647,4,2018,1118,3.0
648,1,2018,106,0.0
649,6,2018,162,5.0
650,6,2018,182,5.0
651,6,2018,93,5.0
652,6,2018,1056,5.0
653,1,2018,1370,0.0
654,12,2018,1940,11.0
655,6,2018,861,5.0
656,6,2018,370,5.0
657,7,2018,1686,6.0
658,6,2018,1875,5.0
659,6,2018,1225,5.0
660,9,2018,1655,8.0
661,9,2018,153,8.0
662,6,2018,674,5.0
663,10,2018,1318,9.0
664,6,2018,681,5.0
665,6,2018,293,5.0
666,6,2018,1932,5.0
667,6,2018,165,5.0
668,6,2018,161,5.0
669,6,2018,256,5.0
670,6,2018,1729,5.0
671,7,2018,1866,6.0
672,4,2018,1329,3.0
673,4,2018,1730,3.0
674,4,2018,266,3.0
675,3,2018,680,2.0
676,6,2018,1371,5.0
677,6,2018,1193,5.0
678,3,2018,5,2.0
679,6,2018,1986,5.0
680,6,2018,1834,5.0
681,8,2018,263,7.0
682,6,2018,1373,5.0
683,6,2018,1927,5.0
684,6,2018,260,5.0
685,6,2018,1369,5.0
686,6,2018,1931,5.0
687,7,2018,992,6.0
688,6,2018,163,5.0
689,8,2018,439,7.0
690,7,2018,1902,6.0
691,7,2018,1903,6.0
692,7,2018,1730,6.0
693,7,2018,1448,6.0
694,7,2018,205,6.0
695,7,2018,973,6.0
696,6,2018,162,5.0
697,7,2018,1238,6.0
698,6,2018,1267,5.0
699,7,2018,723,6.0
700,8,2018,894,7.0
701,11,2018,697,10.0
702,6,2018,471,5.0
703,6,2018,292,5.0
704,6,2018,940,5.0
705,6,2018,1985,5.0
706,7,2018,1686,6.0
707,10,2018,652,9.0
708,6,2018,1128,5.0
709,12,2018,1933,11.0
710,12,2018,340,11.0
711,6,2018,1274,5.0
712,6,2018,1369,5.0
713,7,2018,1580,6.0
714,2,2018,1835,1.0
715,6,2018,260,5.0
716,7,2018,779,6.0
717,6,2018,429,5.0
718,6,2018,1459,5.0
719,6,2018,1224,5.0
720,6,2018,1224,5.0
721,7,2018,687,6.0
722,8,2018,1280,7.0
723,6,2018,642,5.0
724,6,2018,285,5.0
725,6,2018,543,5.0
726,2,2018,1661,1.0
727,4,2018,925,3.0
728,6,2018,773,5.0
729,2,2018,1081,1.0
730,8,2018,1909,7.0
731,11,2018,560,10.0
732,7,2018,195,6.0
733,7,2018,1727,6.0
734,11,2018,1835,10.0
735,7,2018,192,6.0
736,7,2018,1519,6.0
737,7,2018,290,6.0
738,11,2018,481,10.0
739,11,2018,471,10.0
740,11,2018,1072,10.0
741,6,2018,1574,5.0
742,12,2018,506,11.0
743,6,2018,812,5.0
744,6,2018,681,5.0
745,12,2018,713,11.0
746,6,2018,428,5.0
747,6,2018,1355,5.0
748,4,2018,1730,3.0
749,7,2018,439,6.0
750,6,2018,292,5.0
751,6,2018,1369,5.0
752,7,2018,754,6.0
753,10,2018,1372,9.0
754,6,2018,380,5.0
755,6,2018,378,5.0
756,6,2018,267,5.0
757,7,2018,1238,6.0
758,6,2018,1466,5.0
759,6,2018,1492,5.0
760,7,2018,1754,6.0
761,2,2018,1093,1.0
762,6,2018,1931,5.0
763,8,2018,676,7.0
764,6,2018,950,5.0
765,6,2018,1369,5.0
766,6,2018,166,5.0
767,6,2018,1650,5.0
768,6,2018,497,5.0
769,6,2018,425,5.0
770,3,2018,292,2.0
771,6,2018,950,5.0
772,6,2018,506,5.0
773,6,2018,567,5.0
774,9,2018,1318,8.0
775,7,2018,838,6.0
776,3,2018,776,2.0
777,6,2018,93,5.0
778,1,2018,188,0.0
779,6,2018,1973,5.0
780,6,2018,1089,5.0
781,2,2018,1096,1.0
782,6,2018,1915,5.0
783,6,2018,1355,5.0
784,6,2018,1150,5.0
785,6,2018,681,5.0
786,3,2018,1161,2.0
787,6,2018,37,5.0
788,6,2018,1673,5.0
789,6,2018,943,5.0
790,7,2018,1061,6.0
791,3,2018,1481,2.0
792,3,2018,1906,2.0
793,9,2018,122,8.0
794,3,2018,1673,2.0
795,3,2018,314,2.0
796,6,2018,37,5.0
797,3,2018,1332,2.0
798,7,2018,1355,6.0
799,1,2018,97,0.0
800,3,2018,898,2.0
801,7,2018,384,6.0
802,3,2018,503,2.0
803,3,2018,229,2.0
804,10,2018,587,9.0
805,9,2018,273,8.0
806,6,2018,862,5.0
807,6,2018,1729,5.0
808,6,2018,617,5.0
809,6,2018,1641,5.0
810,6,2018,1481,5.0
811,11,2018,1160,10.0
812,8,2018,1481,7.0
813,8,2018,1061,7.0
814,6,2018,189,5.0
815,6,2018,621,5.0
816,6,2018,260,5.0
817,11,2018,1729,10.0
818,6,2018,934,5.0
819,6,2018,166,5.0
820,6,2018,282,5.0
821,6,2018,123,5.0
822,6,2018,162,5.0
823,6,2018,955,5.0
824,6,2018,1024,5.0
825,6,2018,77,5.0
826,6,2018,947,5.0
827,6,2018,1596,5.0
828,6,2018,293,5.0
829,6,2018,1933,5.0
830,4,2018,816,3.0
831,10,2018,1280,9.0
832,6,2018,567,5.0
833,5,2018,716,4.0
834,5,2018,528,4.0
835,6,2018,1227,5.0
836,6,2018,1481,5.0
837,5,2018,871,4.0
838,7,2018,487,6.0
839,9,2018,1316,8.0
840,5,2018,1714,4.0
841,6,2018,1686,5.0
842,7,2018,1280,6.0
843,7,2018,846,6.0
844,5,2018,506,4.0
845,7,2018,952,6.0
846,7,2018,1464,6.0
847,8,2018,799,7.0
848,7,2018,795,6.0
849,6,2018,1310,5.0
850,6,2018,1128,5.0
851,8,2018,423,7.0
852,5,2018,29,4.0
853,8,2018,1820,7.0
854,4,2018,1219,3.0
855,7,2018,1160,6.0
856,1,2018,1661,0.0
857,7,2018,1340,6.0
858,6,2018,286,5.0
859,6,2018,1174,5.0
860,6,2018,1785,5.0
861,7,2018,1147,6.0
862,7,2018,230,6.0
863,11,2018,454,10.0
864,11,2018,1388,10.0
865,9,2018,1251,8.0
866,6,2018,1290,5.0
867,12,2018,1932,11.0
868,6,2018,266,5.0
869,11,2018,1598,10.0
870,7,2018,581,6.0
871,6,2018,267,5.0
872,6,2018,425,5.0
873,6,2018,497,5.0
874,10,2018,5,9.0
875,5,2018,681,4.0
876,10,2018,1297,9.0
877,6,2018,1747,5.0
878,7,2018,1299,6.0
879,7,2018,1144,6.0
880,1,2018,1662,0.0
881,6,2018,353,5.0
882,7,2018,1255,6.0
883,6,2018,1906,5.0
884,7,2018,1091,6.0
885,6,2018,1887,5.0
886,6,2018,1174,5.0
887,8,2018,491,7.0
888,11,2018,1494,10.0
889,6,2018,506,5.0
890,6,2018,1125,5.0
891,6,2018,165,5.0
892,8,2018,694,7.0
893,6,2018,529,5.0
894,6,2018,1931,5.0
895,6,2018,1673,5.0
896,6,2018,950,5.0
897,6,2018,1932,5.0
898,6,2018,681,5.0
899,9,2018,1657,8.0
900,6,2018,163,5.0
901,8,2018,292,7.0
902,6,2018,567,5.0
903,7,2018,1441,6.0
904,6,2018,915,5.0
905,8,2018,1337,7.0
906,1,2018,945,0.0
907,6,2018,722,5.0
908,6,2018,133,5.0
909,11,2018,1124,10.0
910,2,2018,1355,1.0
911,7,2018,406,6.0
912,6,2018,503,5.0
913,6,2018,949,5.0
914,6,2018,1124,5.0
915,7,2018,228,6.0
916,4,2018,1642,3.0
917,6,2018,1077,5.0
918,6,2018,1355,5.0
919,6,2018,314,5.0
920,6,2018,1673,5.0
921,6,2018,37,5.0
922,9,2018,1916,8.0
923,6,2018,478,5.0
924,6,2018,425,5.0
925,6,2018,504,5.0
926,6,2018,659,5.0
927,6,2018,567,5.0
928,11,2018,1261,10.0
929,6,2018,934,5.0
930,6,2018,1209,5.0
931,6,2018,1267,5.0
932,6,2018,1178,5.0
933,6,2018,504,5.0
934,9,2018,1028,8.0
935,12,2018,1676,11.0
936,6,2018,934,5.0
937,9,2018,408,8.0
938,6,2018,712,5.0
939,11,2018,1247,10.0
940,6,2018,813,5.0
941,6,2018,741,5.0
942,10,2018,1341,9.0
943,6,2018,567,5.0
944,11,2018,680,10.0
945,6,2018,1928,5.0
946,6,2018,562,5.0
947,6,2018,1280,5.0
948,6,2018,1290,5.0
949,6,2018,1932,5.0
950,6,2018,934,5.0
951,6,2018,1174,5.0
952,6,2018,1785,5.0
953,7,2018,1544,6.0
954,11,2018,450,10.0
955,7,2018,1308,6.0
956,1,2018,504,0.0
957,8,2018,1543,7.0
958,2,2018,23,1.0
959,2,2018,1178,1.0
960,2,2018,1174,1.0
961,6,2018,1785,5.0
962,6,2018,1859,5.0
963,6,2018,639,5.0
964,2,2018,1432,1.0
965,7,2018,1106,6.0
966,1,2018,1171,0.0
967,6,2018,275,5.0
968,1,2018,717,0.0
969,7,2018,1624,6.0
970,1,2018,953,0.0
971,7,2018,502,6.0
972,7,2018,365,6.0
973,7,2018,846,6.0
974,7,2018,1518,6.0
975,7,2018,431,6.0
976,9,2018,384,8.0
977,7,2018,1464,6.0
978,6,2018,1607,5.0
979,4,2018,1474,3.0
980,7,2018,66,6.0
981,9,2018,570,8.0
982,9,2018,1248,8.0
983,9,2018,384,8.0
984,10,2018,545,9.0
985,9,2018,825,8.0
986,9,2018,339,8.0
987,10,2018,145,9.0
988,7,2018,1499,6.0
989,4,2018,528,3.0
990,9,2018,36,8.0
991,4,2018,1906,3.0
992,2,2018,1369,1.0
993,8,2018,1238,7.0
994,7,2018,797,6.0
995,6,2018,974,5.0
996,7,2018,993,6.0
997,8,2018,1362,7.0
998,7,2018,491,6.0
999,9,2018,384,8.0
1000,7,2018,339,6.0
1001,8,2018,1238,7.0
1002,7,2018,493,6.0
1003,10,2018,230,9.0
1004,7,2018,1411,6.0
1005,1,2018,1933,0.0
1006,9,2018,828,8.0
1007,9,2018,822,8.0
1008,8,2018,992,7.0
1009,3,2018,1733,2.0
1010,8,2018,123,7.0
1011,3,2018,1956,2.0
1012,3,2018,1658,2.0
1013,3,2018,1733,2.0
1014,3,2018,1730,2.0
1015,6,2018,1075,5.0
1016,3,2018,1940,2.0
1017,7,2018,169,6.0
1018,7,2018,216,6.0
1019,7,2018,499,6.0
1020,12,2018,492,11.0
1021,6,2018,1995,5.0
1022,12,2018,846,11.0
1023,6,2018,168,5.0
1024,6,2018,1940,5.0
1025,6,2018,1933,5.0
1026,2,2018,890,1.0
1027,6,2018,642,5.0
1028,6,2018,1199,5.0
1029,6,2018,1355,5.0
1030,6,2018,1631,5.0
1031,9,2018,306,8.0
